Bar,Side,PMT,HV Cable (PMT to PP),HV PP,PP Channel,Multiway,CAEN Channel Name,CAEN Channel Number
62,Left,318,H-HV-L62,H-HV-PP-L1,2-1,H-HV-MW-L1,hodo_L62,6.0015
62,Right,319,H-HV-R62,H-HV-PP-R1,0-14,H-HV-MW-R1,hodo_R62,4.0015
63,Left,294,H-HV-L63,H-HV-PP-L1,2-0,H-HV-MW-L1,hodo_L63,6.0016
63,Right,295,H-HV-R63,H-HV-PP-R1,0-15,H-HV-MW-R1,hodo_R63,4.0016
64,Left,80,H-HV-L64,H-HV-PP-L1,1-15,H-HV-MW-L1,hodo_L64,6.0017
64,Right,81,H-HV-R64,H-HV-PP-R1,1-0,H-HV-MW-R1,hodo_R64,4.0017
65,Left,291,H-HV-L65,H-HV-PP-L1,1-14,H-HV-MW-L1,hodo_L65,6.0018
65,Right,290,H-HV-R65,H-HV-PP-R1,1-1,H-HV-MW-R1,hodo_R65,4.0018
66,Left,103,H-HV-L66,H-HV-PP-L1,1-13,H-HV-MW-L1,hodo_L66,6.0019
66,Right,102,H-HV-R66,H-HV-PP-R1,1-2,H-HV-MW-R1,hodo_R66,4.0019
67,Left,312,H-HV-L67,H-HV-PP-L1,1-12,H-HV-MW-L1,hodo_L67,6.0020
67,Right,313,H-HV-R67,H-HV-PP-R1,1-3,H-HV-MW-R1,hodo_R67,4.0020
68,Left,190,H-HV-L68,H-HV-PP-L1,1-11,H-HV-MW-L1,hodo_L68,6.0021
68,Right,189,H-HV-R68,H-HV-PP-R1,1-4,H-HV-MW-R1,hodo_R68,4.0021
69,Left,211,H-HV-L69,H-HV-PP-L1,1-10,H-HV-MW-L1,hodo_L69,6.0022
69,Right,210,H-HV-R69,H-HV-PP-R1,1-5,H-HV-MW-R1,hodo_R69,4.0022
70,Left,224,H-HV-L70,H-HV-PP-L1,1-9,H-HV-MW-L1,hodo_L70,6.0023
70,Right,225,H-HV-R70,H-HV-PP-R1,1-6,H-HV-MW-R1,hodo_R70,4.0023
71,Left,238,H-HV-L71,H-HV-PP-L1,1-8,H-HV-MW-L1,hodo_L71,6.0024
71,Right,239,H-HV-R71,H-HV-PP-R1,1-7,H-HV-MW-R1,hodo_R71,4.0024
